archivo,extension,tamano_mb,sha256_12,estado_lectura,filas,columnas,hojas,cabecera_o_hoja
.DS_Store,,0.006,cefc13636467,no tabular,,,,
70 ideas basadas en IA.docx,.docx,0.034,5237685959bb,documento/proyecto,,,,
AGENTS.md,.md,0.0,bc1d72dcc1e7,documento/proyecto,,,,
Base de datos nvestigación portafolio de negocios 4.0/17-07-2025-OEE-DV-ESTADISTICAS-EMPRESAS-RUES-MINCIT.xlsx,.xlsx,5.664,43925610fd65,xlsx: inventario liviano; lectura profunda solo en analisis focal,,,,
Base de datos nvestigación portafolio de negocios 4.0/29-05-2026-OEE-EC-ESTADISTICAS-TURISMO-MINCIT.xlsx,.xlsx,7.485,7dc7b69c2e01,xlsx: inventario liviano; lectura profunda solo en analisis focal,,,,
Base de datos nvestigación portafolio de negocios 4.0/API_EG.ELC.RNEW.ZS_DS2_en_excel_v2_276813 (1).xls,.xls,0.248,a927eec1e6a2,xls binario: requiere xlrd/LibreOffice/Excel para lectura tabular,,,,
Base de datos nvestigación portafolio de negocios 4.0/API_EG.ELC.RNEW.ZS_DS2_en_excel_v2_276813.xls,.xls,0.248,a927eec1e6a2,xls binario: requiere xlrd/LibreOffice/Excel para lectura tabular,,,,
Base de datos nvestigación portafolio de negocios 4.0/API_EG.FEC.RNEW.ZS_DS2_en_excel_v2_267583.xls,.xls,0.194,65fabad2a6eb,xls binario: requiere xlrd/LibreOffice/Excel para lectura tabular,,,,
Base de datos nvestigación portafolio de negocios 4.0/API_IT.NET.BBND.P2_DS2_en_excel_v2_260048.xls,.xls,0.216,b8ea9a8f02a6,xls binario: requiere xlrd/LibreOffice/Excel para lectura tabular,,,,
Base de datos nvestigación portafolio de negocios 4.0/API_IT.NET.USER.ZS_DS2_en_excel_v2_115661 (1).xls,.xls,0.223,7880b5d98219,xls binario: requiere xlrd/LibreOffice/Excel para lectura tabular,,,,
Base de datos nvestigación portafolio de negocios 4.0/API_IT.NET.USER.ZS_DS2_en_excel_v2_115661 (2).xls,.xls,0.223,7880b5d98219,xls binario: requiere xlrd/LibreOffice/Excel para lectura tabular,,,,
Base de datos nvestigación portafolio de negocios 4.0/API_IT.NET.USER.ZS_DS2_en_excel_v2_115661.xls,.xls,0.223,7880b5d98219,xls binario: requiere xlrd/LibreOffice/Excel para lectura tabular,,,,
Base de datos nvestigación portafolio de negocios 4.0/API_ST.INT.ARVL_DS2_en_excel_v2_279278.xls,.xls,0.18,de5ad498bb9c,xls binario: requiere xlrd/LibreOffice/Excel para lectura tabular,,,,
Base de datos nvestigación portafolio de negocios 4.0/API_ST.INT.RCPT.CD_DS2_en_excel_v2_266126.xls,.xls,0.198,9c9428e60e15,xls binario: requiere xlrd/LibreOffice/Excel para lectura tabular,,,,
Base de datos nvestigación portafolio de negocios 4.0/CNPV-2018-NBI-DIVIPOLA-2021.xlsx,.xlsx,0.412,0e6f1737c09b,xlsx: inventario liviano; lectura profunda solo en analisis focal,,,,
Base de datos nvestigación portafolio de negocios 4.0/CNPV-2018-NBI.xlsx,.xlsx,0.423,96775308d340,xlsx: inventario liviano; lectura profunda solo en analisis focal,,,,
Base de datos nvestigación portafolio de negocios 4.0/CNPV-2018-VIHOPE-v3.xls,.xls,0.736,32bdeb24e469,xls binario: requiere xlrd/LibreOffice/Excel para lectura tabular,,,,
Base de datos nvestigación portafolio de negocios 4.0/CoCObservatoryData (1).xlsx,.xlsx,0.095,dfd944d4935c,xlsx: inventario liviano; lectura profunda solo en analisis focal,,,,
Base de datos nvestigación portafolio de negocios 4.0/CoCObservatoryData (2).xlsx,.xlsx,0.095,dfd944d4935c,xlsx: inventario liviano; lectura profunda solo en analisis focal,,,,
Base de datos nvestigación portafolio de negocios 4.0/CoCObservatoryData.xlsx,.xlsx,0.095,dfd944d4935c,xlsx: inventario liviano; lectura profunda solo en analisis focal,,,,
Base de datos nvestigación portafolio de negocios 4.0/DANE_DIRECTORIO_ESTADISTICO_EMPRESAS.xlsx,.xlsx,78.476,fe72ebe47792,xlsx: inventario liviano; lectura profunda solo en analisis focal,,,,
Base de datos nvestigación portafolio de negocios 4.0/EMP_NIFL_SEX_ECO_NB_Q-20260603T2116.csv,.csv,54.987,de937b8e4858,"texto utf-8-sig delim=','",no contado; archivo grande,11,,ref_area.label; source.label; indicator.label; sex.label; classif1.label; time; obs_value; obs_status.label
